DE#,Date,Video#,MPP,FPS,OD,D,D_err,d,d_err,Easy to analyze?,Plane,Comment,x0,y0,Rinfy,t2,(D-d)/d^2,D-d,d^3/(D-d),t1_fit,t2_fit,DA_fit,(D-d)/d,DA/OD,c,number of bacteria,mean velocity (1s),mean velocity middle,mean velocity end,Unnamed: 30,Fitting,variance
23,2021-10-26,11,0.11,50.0,65,48.9,,17.0,,Yes,XZ,,,,9.0,3.2,0.11038062283737,31.9,154.012539184953,0.15,2.44,2.11,1.87647058823529,0.0324615384615385,0.400819976293243,3048.36055905333,1.925,,,,,4.541272696167074
24,2021-10-26,12,0.11,50.0,65,74.0,,15.4,,Yes,XZ,small inner drop,,,150.0,6.3,0.247090571765896,58.6,62.3253242320819,0.7,3.37,27.47,3.80519480519481,0.422615384615385,0.888276883682195,10928.1055090133,1.716,,,,,75.26437365566932
25,2021-10-26,13,0.11,50.0,65,63.4,,30.9,,Yes,XZ,large inner drop,,,4.0,,0.0340381856076078,32.5,907.803969230769,0.0,1.62,1.21,1.05177993527508,0.0186153846153846,0.259675293562857,6132.15660633333,0.847,,,,,1.9784518431763145
30,2021-11-01,6,0.11,50.0,85,44.9,,6.9,,Yes,XY,Motility improves several minutes after centrifuge,,,50.0,9.0,0.798151648813274,38.0,8.64497368421053,,7.45363879630614,4.36289643604333,5.50724637681159,0.0513281933652157,0.918390128268769,3209.57356613333,,,,,,33.83133271113895
32,2021-11-01,8,0.11,50.0,85,80.2,,38.7,,Yes,XZ,big inner droplet,,,,,0.0277093390488018,41.5,1396.64103614458,,44.5295402424541,0.175561853276539,1.07235142118863,0.00206543356795928,0.448290780085406,16294.7433912667,1.496,,,,bad,9.614203412204903
35,2021-11-02,1,0.11,50.0,42,47.0,,9.5,,,XZ,"droplet does not fall to bottom, but suspend in the middle of nowhere, good video with entire outer droplet visible",,,30.0,11.0,0.415512465373961,37.5,22.8633333333333,,8.86889845041848,1.91474685575902,3.94736842105263,0.0455892108514052,0.63102535508029,1810.54755,1.18,1.13,0.96,,,15.554414013836176
37,2021-11-02,3,0.11,50.0,42,93.6,,26.9,,,XZ,,,,8.3,3.6,0.0921767250314396,66.7,291.83071964018,,2.10674819804867,2.10872788402171,2.47955390334572,0.0502078067624217,0.186872394088868,14077.060175248,1.03,0.99,0.96,,,4.315582925246979
38,2021-11-02,5,0.33,50.0,51,140.0,,20.0,,,XZ,"very large outer drop 140/20, have to use 20x for imaging",,,33.0,3.8,0.3,120.0,66.6666666666667,,2.13507501273148,8.41246638121813,6.0,0.164950321200355,0.212199353339305,58419.072,3.09,2.69,2.4,,,18.011426223047728
39,2021-11-02,8,0.11,50.0,41,110.0,,20.0,,,XZ,"i) fps lower than 50 due to disk speed, need to install SSD, ii) this is the x-y image of the same de in image 08, iii) outer drop is getting larger due to coalescence.",,,70.0,3.5,0.225,90.0,88.8888888888889,,2.07236099119313,18.376247066782,4.5,0.448201147970293,0.400000380881912,22709.736,1.01,1.08,0.98,,,36.00006855877682
40,2021-11-02,9,0.11,47.8,41,109.4,,23.2,,,XY,,,,45.0,3.4,0.160151605231867,86.2,144.862737819026,,1.58961788593949,15.1529946226529,3.71551724137931,0.369585234698851,0.333796256344019,22260.8868394453,0.97,1.03,0.94,,,22.99719957058595
41,2021-11-02,13,0.65,50.0,61,201.2,,51.4,,Yes,XZ,,,,28.0,4.4,0.0567003285439598,149.8,906.520320427236,,2.63330948735013,5.98676066992812,2.91439688715953,0.0981436175398053,0.159871800351156,204540.943092715,2.25,3.96,2.76,,bad,15.931800420168068
42,2021-11-02,14,0.11,50.0,61,137.5,,27.0,,No,XZ,triple emulsion,,,,,0.151577503429355,110.5,178.126696832579,,1.74778191609752,13.8747518490872,4.09259259259259,0.227454948345692,0.250763396723426,65887.8797156667,3.18,3.39,6.27,,,21.32801036789298
43,2021-11-02,16,0.11,50.0,65,100.0,,30.0,,Yes,XZ,Big droplet increasing size,,,90.0,3.6,0.0777777777777778,70.0,385.714285714286,,2.92526254520225,15.944567822053,2.33333333333333,0.2453010434162,0.623414514401482,26478.5733333333,1.48,9.06,13.0,,,52.89899217098712
44,2021-11-02,17,0.33,50.0,65,179.1,,28.0,,Yes,XZ,big outer droplet,383.0,327.0,95.0,3.7,0.192729591836735,151.1,145.281270681668,,1.93971935016585,26.1745555091197,5.39642857142857,0.402685469371072,0.272762800260466,155742.033780147,3.94,5.43,3.84,,,47.184212236141576
45,2021-11-02,18,0.33,50.0,65,257.7,,37.7,,Yes,XZ,big outer droplet,,,100.0,4.0,0.154788959325683,220.0,243.557422727273,,1.96972416170891,28.2051106740192,5.83554376657825,0.433924779600295,0.191811238639449,464261.953965333,4.13,3.79,4.0,,,49.464196705292835
46,2021-11-02,19,0.33,50.0,65,239.8,,36.1,,Yes,XZ,big outer droplet,,,100.0,3.2,0.156306351240399,203.7,230.956705940108,,1.54976818089816,37.0715488917532,5.64265927977839,0.570331521411588,0.218305051650761,373977.13548468,3.92,4.48,4.14,,,54.929687503914806
48,2021-11-02,21,0.33,50.0,65,197.3,,24.7,,No,XZ,"small inner, last video of the day..",,,240.0,5.0,0.282909078988346,172.6,87.307201622248,,3.02856191205959,42.6106575364582,6.98785425101215,0.655548577483972,0.378539005674405,208597.958358053,3.79,3.45,3.52,,,118.57697201970444
50,2021-11-03,2,0.33,50.0,111,155.7,,37.7,,Yes,XZ,,,,190.0,6.8,0.0830231690928663,118.0,454.090110169492,,7.19708959164429,12.8941615827334,3.12997347480106,0.116163617862463,0.473811929016166,172921.06004432,3.62,3.72,3.34,,,86.83073857062101
51,2021-11-03,4,0.33,50.0,66,132.6,,15.6,,No,XZ,,,,850.0,15.0,0.480769230769231,117.0,32.448,,9.56068768486976,47.0440715468166,7.5,0.712788962830555,1.06475306609824,64318.38633792,4.76,3.83,3.36,,,431.0890796438667
52,2021-11-03,6,0.33,50.0,66,195.1,,19.2,,No,XZ,,,,760.0,15.0,0.477159288194444,175.9,40.2381353041501,,14.5779129304368,27.7110796864598,9.16145833333333,0.419864843734239,0.616020377342678,205007.623513616,3.42,2.51,3.68,,,326.1514660478075
53,2021-11-03,8,0.33,50.0,57,72.5,,21.1,,Yes,XZ,Inner droplet pops out,,,77.0,5.0,0.11545113541924,51.4,182.761303501946,,4.60644895998264,8.39963901379761,2.43601895734597,0.147362087961362,0.746930351147683,8869.871605616,2.85,2.34,2.7,,,40.94340445250385
55,2021-11-03,10,0.33,50.0,57,160.2,,32.5,,Yes,XZ,Inner droplet pops out,333.0,378.0,60.0,4.0,0.120899408284024,127.7,268.818519968677,,2.71862316661724,13.8252681618326,3.92923076923077,0.242548564242677,0.255036178350135,97294.747044712,,,,,bad,29.4634010757315
56,2021-11-03,11,0.33,50.0,57,205.8,,26.7,,No,XZ,,273.0,383.0,240.0,4.3,0.251230905188739,179.1,106.276733668342,,2.31781458446275,54.3597611244232,6.70786516853933,0.953680019726723,0.373168837419924,207553.439862936,,,,,bad,124.07932150528956
57,2021-11-03,13,0.33,50.0,89,134.9,,43.3,,Yes,XZ,,,,,,0.0488561995637078,91.6,886.27442139738,,1.77056022234158,12.9175416749992,2.11547344110855,0.14514091769662,0.313484540944956,88448.3005068693,,,,,,22.90449414762174
59,2021-11-03,15,0.33,50.0,89,194.6,,45.2,,Yes,XZ,Inner droplet pops out,,,160.0,2.5,0.0731263215600282,149.4,618.108487282463,,3.95113993579582,19.2576292487465,3.30530973451327,0.216377856727489,0.427441573508279,271150.466606784,,,,,bad,113.27973229619218
64,2021-11-10,9,0.33,50.0,15,89.1,,20.46,,Yes,XZ,,,,,,0.163970611421184,68.64,124.778457692308,,6.00798371313904,0.817615268743816,3.35483870967742,0.0545076845829211,0.218618756006127,4388.35835572992,,,,,,6.254993840689916
65,2021-11-10,10,0.33,50.0,15,135.63,,13.233,,Yes,XZ,,,,30.0,23.0,0.69896293800374,122.397,18.9323342919925,,34.981006067026,0.533644488580068,9.24937655860349,0.0355762992386712,0.19402403161576,15653.9298171754,,,,,bad,15.665710432043932
66,2021-11-10,11,0.33,50.0,15,181.17,,22.77,,Yes,XZ,,,,,,0.305512592847186,158.4,74.530479375,,10.2055341587075,0.489718822957933,6.95652173913043,0.0326479215305289,0.0798294898362888,37269.6596483904,,,,,,4.441550061025028
67,2021-11-11,1,0.33,50.0,8,157.3,,21.5,,Yes,XZ,Outer Droplet deforms,,,,,0.293780421849648,135.8,73.1839101620029,,15.3810002155367,0.0747229591623912,6.31627906976744,0.0093403698952989,0.06446861701334,13002.7187049387,,,,,bad,2.1290886594524756
68,2021-11-11,2,0.33,50.0,8,143.3,,28.6,,Yes,XZ,Outer droplet rotates,,,,,0.140226905961172,114.7,203.955152571927,,11.6365157931328,0.425324671832027,4.01048951048951,0.0531655839790034,0.141610074329784,9777.56170062934,,,,,bad,7.328458561966058
72,2021-11-11,7,0.33,50.0,50,176.8,,12.3,,Yes,XZ,inner pop out,,,410.0,13.0,1.08731575120629,164.5,11.3122613981763,1.32,11.17,28.24,13.3739837398374,0.5648,0.493555695779647,115648.208867333,,,,,,183.10560564952053
75,2021-11-22,3,0.33,50.0,70,136.1,,39.4,,Yes,XZ,small inner droplet,,,70.0,3.8,0.0622922517972635,96.7,632.502419855222,0.68,1.43,33.38,2.45431472081218,0.476857142857143,0.622885523569648,72089.8837547466,,,,,,36.94599049664863
76,2021-11-22,5,0.33,50.0,70,121.0,,53.0,,Yes,XY,Same droplet as video 02,,,10.0,2.3,0.0242079031683873,68.0,2189.36764705882,0.61,1.03185227764598,5.36719783810525,1.28301886792453,0.076674254830075,0.377145068572771,47555.4590933333,,,,,bad,4.846580883469272
