DE#,Date,Video#,MPP,FPS,OD,D,D_err,d,d_err,Easy to analyze?,Plane,Comment,x0,y0,Rinfy,t2,(D-d)/d^2,D-d,d^3/(D-d),t1_fit,t2_fit,DA_fit,(D-d)/d,DA/OD,c,number of bacteria,mean velocity (1s),mean velocity middle,mean velocity end,Unnamed: 30,Fitting,Steadiness
24,2021-10-26,12,0.11,50.0,65,74.0,,15.4,,Yes,XZ,small inner drop,,,150.0,6.3,0.247090571765896,58.6,62.3253242320819,0.7,3.37,27.47,3.80519480519481,0.422615384615385,0.888276883682195,10928.1055090133,1.716,,,,,1.0203758393675422
32,2021-11-01,8,0.11,50.0,85,80.2,,38.7,,Yes,XZ,big inner droplet,,,,,0.0277093390488018,41.5,1396.64103614458,,44.5295402424541,0.175561853276539,1.07235142118863,0.00206543356795928,0.448290780085406,16294.7433912667,1.496,,,,bad,1.6251837210480968
41,2021-11-02,13,0.65,50.0,61,201.2,,51.4,,Yes,XZ,,,,28.0,4.4,0.0567003285439598,149.8,906.520320427236,,2.63330948735013,5.98676066992812,2.91439688715953,0.0981436175398053,0.159871800351156,204540.943092715,2.25,3.96,2.76,,bad,2.8134404509305297
43,2021-11-02,16,0.11,50.0,65,100.0,,30.0,,Yes,XZ,Big droplet increasing size,,,90.0,3.6,0.0777777777777778,70.0,385.714285714286,,2.92526254520225,15.944567822053,2.33333333333333,0.2453010434162,0.623414514401482,26478.5733333333,1.48,9.06,13.0,,,2.0439211780972637
45,2021-11-02,18,0.33,50.0,65,257.7,,37.7,,Yes,XZ,big outer droplet,,,100.0,4.0,0.154788959325683,220.0,243.557422727273,,1.96972416170891,28.2051106740192,5.83554376657825,0.433924779600295,0.191811238639449,464261.953965333,4.13,3.79,4.0,,,1.0821071242262517
46,2021-11-02,19,0.33,50.0,65,239.8,,36.1,,Yes,XZ,big outer droplet,,,100.0,3.2,0.156306351240399,203.7,230.956705940108,,1.54976818089816,37.0715488917532,5.64265927977839,0.570331521411588,0.218305051650761,373977.13548468,3.92,4.48,4.14,,,1.311187636405314
48,2021-11-02,21,0.33,50.0,65,197.3,,24.7,,No,XZ,"small inner, last video of the day..",,,240.0,5.0,0.282909078988346,172.6,87.307201622248,,3.02856191205959,42.6106575364582,6.98785425101215,0.655548577483972,0.378539005674405,208597.958358053,3.79,3.45,3.52,,,1.1568724331411606
53,2021-11-03,8,0.33,50.0,57,72.5,,21.1,,Yes,XZ,Inner droplet pops out,,,77.0,5.0,0.11545113541924,51.4,182.761303501946,,4.60644895998264,8.39963901379761,2.43601895734597,0.147362087961362,0.746930351147683,8869.871605616,2.85,2.34,2.7,,,1.9032666797531332
55,2021-11-03,10,0.33,50.0,57,160.2,,32.5,,Yes,XZ,Inner droplet pops out,333.0,378.0,60.0,4.0,0.120899408284024,127.7,268.818519968677,,2.71862316661724,13.8252681618326,3.92923076923077,0.242548564242677,0.255036178350135,97294.747044712,,,,,bad,0.22498260367469602
57,2021-11-03,13,0.33,50.0,89,134.9,,43.3,,Yes,XZ,,,,,,0.0488561995637078,91.6,886.27442139738,,1.77056022234158,12.9175416749992,2.11547344110855,0.14514091769662,0.313484540944956,88448.3005068693,,,,,,1.0557205861069296
67,2021-11-11,1,0.33,50.0,8,157.3,,21.5,,Yes,XZ,Outer Droplet deforms,,,,,0.293780421849648,135.8,73.1839101620029,,15.3810002155367,0.0747229591623912,6.31627906976744,0.0093403698952989,0.06446861701334,13002.7187049387,,,,,bad,1.144291253984399
68,2021-11-11,2,0.33,50.0,8,143.3,,28.6,,Yes,XZ,Outer droplet rotates,,,,,0.140226905961172,114.7,203.955152571927,,11.6365157931328,0.425324671832027,4.01048951048951,0.0531655839790034,0.141610074329784,9777.56170062934,,,,,bad,2.146490807734396
75,2021-11-22,3,0.33,50.0,70,136.1,,39.4,,Yes,XZ,small inner droplet,,,70.0,3.8,0.0622922517972635,96.7,632.502419855222,0.68,1.43,33.38,2.45431472081218,0.476857142857143,0.622885523569648,72089.8837547466,,,,,,1.051879195595451
76,2021-11-22,5,0.33,50.0,70,121.0,,53.0,,Yes,XY,Same droplet as video 02,,,10.0,2.3,0.0242079031683873,68.0,2189.36764705882,0.61,1.03185227764598,5.36719783810525,1.28301886792453,0.076674254830075,0.377145068572771,47555.4590933333,,,,,bad,1.0752347569384608
77,2021-11-22,6,0.33,50.0,70,132.6,,37.1,,Yes,XY,Same droplet as video 03,,,71.0,3.3,0.069383395935804,95.5,534.710062827225,0.41,1.69,25.3,2.57412398921833,0.361428571428571,0.19424957181826,66831.1912622666,,,,,,1.645667443285878
78,2021-11-22,8,0.33,50.0,100,182.3,,42.9,,,XZ,,361.0,301.0,440.0,3.0,0.0757439918279079,139.4,566.381556671449,0.48,1.35,226.79,3.24941724941725,2.2679,0.400176429555753,250340.694118933,,,,,,1.1279822621363331
80,2021-11-22,10,0.33,50.0,100,262.0,,64.4,,,XZ,,405.0,441.0,150.0,1.4,0.0476447667914047,197.6,1351.66995951417,0.27,1.29,65.26,3.06832298136646,0.6526,0.636130101028998,741778.444936533,,,,,,1.0453279354383163
81,,experimento201020_DE_60x_od61_70fps_exp_002,0.11,70.0,61,38.3,,12.1,,,XY,Chile,,,20.0,3.0,0.178949525305649,26.2,67.6168320610687,0.36,9.89,1.13,2.16528925619835,0.0185245901639344,0.252369251670757,1389.56717893867,,,,,bad,0.459936539228618
85,,experimentoDE_15_10_19_30fps_exp2_60x003,0.11,30.0,100,57.3,,12.4,,,XY,Chile,,,,,0.292013527575442,44.9,42.4637861915368,0.84,3.07,18.22,3.62096774193548,0.1822,0.0211440995413877,7796.65738693333,,,,,,1.3847006168292442
89,,experimentoDE_60x_70fps_OD_17_exp001,0.11,70.0,17,43.5,,15.3,,,XY,Chile,,,8.0,,0.120466487248494,28.2,127.006276595745,0.28,3.11,1.36,1.84313725490196,0.08,0.0409105387375892,560.356891632,,,,,,1.053710524830639
90,,experimentoDE_60x_70fps_OD_17_exp002,0.11,70.0,17,40.4,,13.4,,,XY,Chile,,,8.0,,0.150367565159278,27.0,89.114962962963,0.49,2.5,1.99,2.01492537313433,0.117058823529412,0.0469185375201826,452.18667744,,,,,,1.410593397016473
91,,experimentoDE_60x_70fps_OD_17_exp003,0.11,70.0,17,17.2,,8.5,,,XY,Chile,,,17.0,7.6,0.120415224913495,8.7,70.5890804597701,0.23,5.14,1.51,1.02352941176471,0.0888235294117647,0.0507796243138472,31.845248232,,,,,,0.47521011732999463
92,,experimentoDE_60x_70fps_OD_17_exp004,0.11,70.0,17,24.6,,5.4,,,XY,Chile,,,19.0,7.0,0.65843621399177,19.2,8.20125,0.07,7.45,1.4,3.55555555555556,0.0823529411764706,0.209785006795801,104.834562048,,,,,,1.2683031254035841
93,,experimentoDE_60x_70fps_OD_25_exp002,0.11,70.0,25,27.2,,12.0,,,XY,Chile,,,2.7,6.7,0.105555555555556,15.2,113.684210526316,0.33,4.94,0.3,1.26666666666667,0.012,0.102858013106108,192.541115733333,,,,,,1.4755465987533636
95,,experimentoDE_60x_70fps_OD_50_exp005,0.11,70.0,50,35.6,,16.4,,,XY,Chile,,,6.5,3.2,0.0713860797144557,19.2,229.736666666667,0.18,2.55,1.36,1.17073170731707,0.0272,0.0734107975475714,852.1347072,,,,,,1.3657087079397408
100,,experimentoDE_60x_OD_40_50fps_exp,0.11,50.0,40,61.3,,21.4,,,XY,Chile,,,8.5,3.7,0.0871255131452529,39.9,245.622656641604,0.48,1.95,2.8,1.86448598130841,0.07,0.0254119878031298,3693.41123424,,,,,,0.26863211074456106
101,,experimentoDE_60x_OD_40_50fps_exp001,0.11,50.0,40,60.1,,11.6,,,XY,Chile,,,19.0,5.1,0.360434007134364,48.5,32.1834226804124,0.4,3.57,3.09,4.18103448275862,0.02925,0.0354578115162677,3609.25675573333,,,,,,0.0
103,,experimentoDE_60x_OD_40_50fps_exp003,0.11,50.0,40,32.1,,7.9,,,XY,Chile,,,10.0,7.5,0.38775837205576,24.2,20.3735123966942,0.72,4.22,1.42,3.06329113924051,0.0355,0.101734547178403,545.658683093334,,,,,,0.0
104,,experimentoDE_60x_OD_40_70fps__exp,0.11,70.0,40,66.4,,20.4,,,XY,Chile,,,9.0,2.5,0.110534409842368,46.0,184.557913043478,0.45,1.05,6.06,2.25490196078431,0.1515,0.0642617281447113,4760.49588906667,,,,,,0.0
105,,experimentoDE_60x_OD_40_70fps_exp002,0.11,70.0,40,52.0,,8.9,,,XY,Chile,,,130.0,12.0,0.54412321676556,43.1,16.3565893271462,0.13,11.23,6.35,4.84269662921348,0.15875,0.0310189296212792,2342.90942581333,,,,,,1.424674588432866
106,,experimentoDE_60x_OD_125_50fps_exp002,0.11,50.0,125,66.1,,33.8,,,XY,Chile,,,8.0,8.0,0.0282728195791464,32.3,1195.49448916409,0.13,5.74,0.73,0.955621301775148,0.00584,0.119254138213299,13093.2928376667,,,,,,0.23916246258598528
107,,experimentoDE_60x_OD_125_50fps_exp003,0.11,50.0,125,23.5,,6.7,,,XY,Chile,,,4.0,2.5,0.374248162174204,16.8,17.9025595238095,0.03,2.2,0.89,2.50746268656716,0.00712,0.0425663954799395,663.435528,,,,,,0.0
108,,experimentoDE_60x_tubo1_OD_70_70fps_exp001,0.11,70.0,70,57.4,,15.9,,,XY,Chile,,,60.0,4.5,0.16415489893596,41.5,96.859734939759,0.39,2.59,12.63,2.61006289308176,0.180428571428571,0.0567136641823695,5424.65066546667,,,,,,1.2175310353855637
111,,experimentoDE_510121_OD40_50fps_exp1002,0.11,50.0,40,36.5,,17.5,,,XY,Chile,,,2.6,2.7,0.0620408163265306,19.0,282.072368421053,0.1,2.55,0.5,1.08571428571429,0.0125,0.0370738234069052,724.590586666667,,,,,,1.234514988962659
112,,experimentoDE_510121_OD40_50fps_exp1004,0.11,50.0,40,30.9,,15.4,,,XY,Chile,,,3.5,4.0,0.065356721200877,15.5,235.629935483871,0.12,3.11,0.56,1.00649350649351,0.014,0.0388166113938027,432.924192533333,,,,,,1.461520994522074
113,,experimentoDE_510121_OD75_50fps_exp1,0.11,50.0,75,26.0,,6.6,,,XY,Chile,,,9.0,7.6,0.445362718089991,19.4,14.819381443299,0.06,7.53,0.67,2.93939393939394,0.00893333333333333,0.0542340930457602,542.8590256,,,,,,1.0608942516618975
115,,experimentoDE_510121_OD75_50fps_exp1002,0.11,50.0,75,36.7,,10.8,,,XY,Chile,,,8.5,6.2,0.222050754458162,25.9,48.637528957529,0.08,6.05,0.71,2.39814814814815,0.00946666666666667,0.0979647901909661,1512.5741414,,,,,,1.1881562354566746
116,,experimentoDE_510121_OD80_50fps_exp1,0.11,50.0,80,69.1,,20.5,,,XY,Chile,,,5.0,3.3,0.115645449137418,48.6,177.265946502058,0.38,1.73,1.8,2.37073170731707,0.0225,0.0530685161927769,10762.22007936,,,,,,1.3818771598105717
117,,experimentoDE_510121_OD80_50fps_exp1001,0.11,50.0,80,39.7,,24.3,,,XY,Chile,,,0.8,,0.0260800352249826,15.4,931.747207792208,0.0,2.64,0.13,0.633744855967078,0.001625,0.0270373076675656,1615.11103189333,,,,,,1.062414745543145
119,,experimentoDE_510121_OD150_50fps_exp1,0.11,50.0,150,50.6,,12.9,,,XY,Chile,,,27.0,7.0,0.226548885283336,37.7,56.9413527851459,0.33,4.77,3.01,2.92248062015504,0.0200666666666667,0.0326174767382737,8001.1926956,,,,,,1.0532657742614246
121,,experimentoDE_510121_OD150_50fps_exp1002,0.11,50.0,150,24.4,,10.7,,,XY,Chile,,,1.5,4.9,0.11966110577343,13.7,89.419197080292,0.07,4.79,0.17,1.2803738317757,0.00113333333333333,0.0324515145367639,835.3493348,,,,,,1.1641470917869674
123,,experimentoDE_OD24_211220_50fps_exp1,0.11,50.0,24,41.2,,10.6,,,XY,Chile,,,6.0,5.0,0.272338910644357,30.6,38.922091503268,0.13,6.06,0.72,2.88679245283019,0.03,0.0128398269885182,690.734808576,,,,,,1.1053704925191823
124,,experimentoDE_OD24_211220_50fps_exp1001,0.11,50.0,24,53.0,,8.4,,,XY,Chile,,,32.0,10.0,0.632086167800453,44.6,13.2893273542601,0.12,9.73,1.66,5.30952380952381,0.0691666666666667,0.0428369712286116,1489.960606208,,,,,,1.1824878209725527
127,,experimentoDE_OD24_211220_50fps_exp1004,0.11,50.0,24,52.5,,10.2,,,XY,Chile,,,3.3,3.0,0.406574394463668,42.3,25.0876595744681,0.19,2.14,0.82,4.14705882352941,0.0341666666666667,0.0119860483190931,1443.313982016,,,,,,1.0282252774234226
132,,experimentoDE_OD30_211220_50fps_exp_1006,0.11,50.0,30,50.1,,10.9,,,XY,Chile,,,11.0,4.0,0.329938557360492,39.2,33.0364540816327,0.16,4.28,1.44,3.59633027522936,0.048,0.0276841260902502,1563.17328832,,,,,,1.259242323454272
133,,experimentoDE_OD30_211220_50fps_exp1006,0.11,50.0,30,29.5,,7.4,,,XY,Chile,,,11.0,5.0,0.403579254930606,22.1,18.33592760181,0.22,4.23,1.39,2.98648648648649,0.0463333333333333,0.0399615052507878,317.35541656,,,,,,1.0817324021884822
134,,experimentoDE_OD30_211220_50fps_exp1008,0.11,50.0,30,88.9,,17.7,,,XY,Chile,,,30.0,4.5,0.227265472884548,71.2,77.8824859550562,0.24,3.03,4.99,4.0225988700565,0.166333333333333,0.0715249991580318,8754.94970816,,,,,,1.359764367771376
