params,params,params,params,params,analysis,analysis,analysis,analysis,analysis,analysis,analysis,Visual,Visual,Visual
Date,Subfolder,BC,MPP,FPS,ID,OD,a,b,c,2D-trajectory,3D-trajectory,2D-image,3D-projection,3D-outRef
7132021,2021-07-13_17h17m24s,20,0.1,30,34.5,100.5,45.4,49.0,,1.0,1.0,1.0,0.0,0.0
7202021,1st-drop-tracking/2021-07-20_16h24m06s-mttry,32,0.1,30,8.8,66.0,51.4,51.2,,1.0,1.0,1.0,1.0,1.0
7202021,1st-drop-tracking/2021-07-20_16h25m35s-m2,32,0.1,30,9.0,69.5,51.3,52.0,,1.0,1.0,1.0,1.0,1.0
7202021,1st-drop-tracking/2021-07-20_16h27m01s-m3,32,0.1,30,9.0,69.2,50.9,51.8,,1.0,1.0,1.0,1.0,1.0
7202021,1st-drop-tracking/2021-07-20_16h28m21s-m4,32,0.1,30,9.1,69.3,51.2,51.2,,1.0,1.0,1.0,1.0,1.0
7202021,1st-drop-tracking/2021-07-20_16h29m43s-m5,32,0.1,30,8.6,65.2,51.7,51.7,,1.0,1.0,1.0,1.0,1.0
7202021,1st-drop-tracking/2021-07-20_16h31m06s,32,0.1,30,8.9,65.5,51.7,51.0,,1.0,1.0,1.0,1.0,1.0
7202021,1st-drop-tracking/2021-07-20_16h32m59s,32,0.1,30,9.2,67.7,51.7,51.2,,1.0,1.0,1.0,1.0,1.0
7202021,1st-drop-tracking/2021-07-20_16h34m28s,32,0.1,30,8.7,67.6,51.5,51.3,,1.0,1.0,1.0,0.0,0.0
7202021,1st-drop-tracking/2021-07-20_16h35m47s,32,0.1,30,8.9,65.1,52.2,51.4,,1.0,1.0,1.0,0.0,0.0
7202021,1st-drop-tracking/2021-07-20_16h42m46s,32,0.1,30,8.4,71.7,51.8,51.4,,1.0,1.0,1.0,1.0,1.0
7202021,1st-drop-tracking/2021-07-20_16h43m54s,32,0.1,30,8.9,65.8,52.1,51.6,,1.0,1.0,1.0,0.0,0.0
7202021,1st-drop-tracking/2021-07-20_16h44m58s,32,0.1,30,9.2,66.4,52.4,50.4,,1.0,1.0,1.0,0.0,0.0
7202021,1st-drop-tracking/2021-07-20_16h47m59s,32,0.1,30,9.0,68.9,52.5,51.8,,1.0,1.0,1.0,0.0,0.0
7202021,1st-drop-tracking/2021-07-20_16h50m22s,32,0.1,30,9.6,70.8,51.3,51.2,,1.0,1.0,1.0,0.0,0.0
7202021,1st-drop-tracking/2021-07-20_16h51m25s,32,0.1,30,9.5,70.1,51.2,51.0,,1.0,1.0,1.0,1.0,0.0
7212021,2021-07-21_16h41m52s,23,0.16,30,11.1,50.4,36.2,29.4,,1.0,1.0,1.0,1.0,1.0
7212021,2021-07-21_16h43m03s,23,0.16,30,6.8,37.1,20.4,16.9,,0.0,0.0,0.0,0.0,0.0
8042021,2021-08-04_16h32m08s,24,0.1,30,48.5,89.6,49.7,51.4,,0.0,0.0,0.0,0.0,0.0
8042021,2021-08-04_16h37m16s,24,0.1,30,46.0,85.5,52.2,52.7,,0.0,0.0,0.0,0.0,0.0
8122021,2021-08-12_16h41m05s,23,0.1,30,38.2,80.1,48.8,56.9,,1.0,1.0,1.0,0.0,0.0
8122021,2021-08-12_16h44m01s,23,0.1,30,35.5,90.2,50.7,51.4,,1.0,1.0,1.0,0.0,0.0
8122021,2021-08-12_16h47m32s,23,0.1,30,39.9,106.8,51.0,50.9,,1.0,1.0,1.0,0.0,0.0
8122021,2021-08-12_16h53m13s,23,0.1,30,31.5,67.8,50.5,51.7,,1.0,1.0,1.0,0.0,0.0
8132021,2021-08-13_15h28m24s,24,0.1,30,29.8,108.9,51.6,50.0,,1.0,1.0,1.0,0.0,0.0
8132021,2021-08-13_15h31m03s,24,0.1,30,36.0,109.4,51.2,50.7,,1.0,1.0,1.0,0.0,0.0
8132021,2021-08-13_15h34m17s,24,0.1,30,31.5,115.1,51.2,51.2,,1.0,1.0,1.0,0.0,0.0
8132021,2021-08-13_15h38m55s,24,0.1,30,37.6,101.1,49.5,51.8,,1.0,1.0,1.0,0.0,0.0
8132021,2021-08-13_15h50m58s,24,0.1,30,36.1,82.9,51.3,53.0,,1.0,1.0,1.0,0.0,0.0
8132021,2021-08-13_15h56m31s,24,0.1,30,36.8,102.0,51.6,51.4,,1.0,1.0,1.0,0.0,0.0
8132021,2021-08-13_16h02m57s,24,0.1,30,30.3,80.0,52.7,55.9,,1.0,1.0,1.0,0.0,0.0
8132021,2021-08-13_16h05m45s,24,0.1,30,25.7,80.5,50.3,50.9,,1.0,1.0,1.0,0.0,0.0
8132021,2021-08-13_16h08m55s,24,0.1,30,21.5,59.6,50.9,53.2,,1.0,1.0,1.0,0.0,0.0
8132021,2021-08-13_16h12m54s,24,0.1,30,26.6,75.0,52.0,53.5,,1.0,1.0,1.0,0.0,0.0
8132021,2021-08-13_16h15m21s,24,0.1,30,27.3,99.2,50.9,52.8,,1.0,1.0,1.0,0.0,0.0
8132021,2021-08-13_16h20m05s,24,0.1,30,30.5,91.1,49.7,53.4,,1.0,1.0,1.0,0.0,0.0
8132021,2021-08-13_16h22m52s,24,0.1,30,28.2,93.5,51.4,54.4,,1.0,1.0,1.0,0.0,0.0
8132021,2021-08-13_16h26m25s,24,0.1,30,26.6,87.8,51.0,51.9,,1.0,1.0,1.0,0.0,0.0
8132021,2021-08-13_16h35m25s,24,0.1,30,33.5,108.1,50.1,52.0,,1.0,1.0,1.0,0.0,0.0
