x,y,filename,frame,particle
516.5,493.5,55191,0,0
514.5,492.5,55192,1,0
517.5,489.5,55193,2,0
518.5,492.5,55194,3,0
515.5,491.5,55195,4,0
518.5,493.5,55196,5,0
518.5,492.5,55197,6,0
516.5,492.5,55198,7,0
517.5,492.5,55199,8,0
517.5,492.5,55200,9,0
514.5,491.5,55201,10,0
516.5,492.5,55202,11,0
515.5,492.5,55203,12,0
515.5,491.5,55204,13,0
516.5,491.5,55205,14,0
516.5,492.5,55206,15,0
516.5,492.5,55207,16,0
514.5,492.5,55208,17,0
517.5,492.5,55209,18,0
517.5,492.5,55210,19,0
516.5,492.5,55211,20,0
515.5,491.5,55212,21,0
517.5,493.5,55213,22,0
517.5,494.5,55214,23,0
515.5,493.5,55215,24,0
518.5,493.5,55216,25,0
517.5,494.5,55217,26,0
518.5,493.5,55218,27,0
517.5,494.5,55219,28,0
517.5,494.5,55220,29,0
518.5,494.5,55221,30,0
517.5,495.5,55222,31,0
520.5,495.5,55223,32,0
519.5,494.5,55224,33,0
520.5,495.5,55225,34,0
520.5,494.5,55226,35,0
519.5,494.5,55227,36,0
520.5,496.5,55228,37,0
521.5,496.5,55229,38,0
521.5,496.5,55230,39,0
521.5,497.5,55231,40,0
521.5,497.5,55232,41,0
520.5,497.5,55233,42,0
519.5,499.5,55234,43,0
520.5,497.5,55235,44,0
518.5,498.5,55236,45,0
520.5,498.5,55237,46,0
520.5,498.5,55238,47,0
521.5,497.5,55239,48,0
518.5,497.5,55240,49,0
521.5,498.5,55241,50,0
518.5,497.5,55242,51,0
520.5,497.5,55243,52,0
520.5,496.5,55244,53,0
518.5,496.5,55245,54,0
520.5,496.5,55246,55,0
519.5,497.5,55247,56,0
520.5,497.5,55248,57,0
518.5,496.5,55249,58,0
520.5,497.5,55250,59,0
522.5,498.5,55251,60,0
520.5,497.5,55252,61,0
518.5,500.5,55253,62,0
520.5,498.5,55254,63,0
518.5,497.5,55255,64,0
520.5,498.5,55256,65,0
519.5,500.5,55257,66,0
517.5,498.5,55258,67,0
520.5,498.5,55259,68,0
518.5,498.5,55260,69,0
518.5,500.5,55261,70,0
518.5,497.5,55262,71,0
519.5,499.5,55263,72,0
518.5,498.5,55264,73,0
519.5,499.5,55265,74,0
516.5,498.5,55266,75,0
517.5,500.5,55267,76,0
518.5,498.5,55268,77,0
519.5,497.5,55269,78,0
518.5,497.5,55270,79,0
519.5,498.5,55271,80,0
518.5,498.5,55272,81,0
519.5,498.5,55273,82,0
517.5,497.5,55274,83,0
518.5,497.5,55275,84,0
519.5,497.5,55276,85,0
518.5,499.5,55277,86,0
517.5,498.5,55278,87,0
518.5,498.5,55279,88,0
518.5,497.5,55280,89,0
518.5,498.5,55281,90,0
518.5,499.5,55282,91,0
513.5,495.5,55283,92,0
518.5,498.5,55284,93,0
518.5,497.5,55285,94,0
518.5,499.5,55286,95,0
517.5,499.5,55287,96,0
515.5,497.5,55288,97,0
516.5,499.5,55289,98,0
517.5,498.5,55290,99,0
517.5,498.5,55291,100,0
516.5,499.5,55292,101,0
516.5,499.5,55293,102,0
514.5,499.5,55294,103,0
514.5,498.5,55295,104,0
516.5,499.5,55296,105,0
515.5,500.5,55297,106,0
516.5,500.5,55298,107,0
513.5,500.5,55299,108,0
509.5,500.5,55300,109,0
516.5,500.5,55301,110,0
515.5,501.5,55302,111,0
515.5,500.5,55303,112,0
515.5,500.5,55304,113,0
516.5,500.5,55305,114,0
515.5,501.5,55306,115,0
516.5,501.5,55307,116,0
514.5,501.5,55308,117,0
516.5,501.5,55309,118,0
516.5,501.5,55310,119,0
515.5,500.5,55311,120,0
515.5,501.5,55312,121,0
515.5,502.5,55313,122,0
510.5,499.5,55314,123,0
515.5,501.5,55315,124,0
516.5,503.5,55316,125,0
517.5,502.5,55317,126,0
515.5,501.5,55318,127,0
517.5,503.5,55319,128,0
517.5,504.5,55320,129,0
517.5,502.5,55321,130,0
517.5,504.5,55322,131,0
518.5,503.5,55323,132,0
516.5,503.5,55324,133,0
518.5,503.5,55325,134,0
517.5,504.5,55326,135,0
515.5,504.5,55327,136,0
515.5,503.5,55328,137,0
517.5,504.5,55329,138,0
515.5,505.5,55330,139,0
517.5,506.5,55331,140,0
515.5,504.5,55332,141,0
517.5,505.5,55333,142,0
517.5,504.5,55334,143,0
515.5,504.5,55335,144,0
516.5,505.5,55336,145,0
516.5,506.5,55337,146,0
515.5,504.5,55338,147,0
517.5,505.5,55339,148,0
517.5,506.5,55340,149,0
516.5,506.5,55341,150,0
516.5,506.5,55342,151,0
516.5,505.5,55343,152,0
516.5,506.5,55344,153,0
515.5,505.5,55345,154,0
514.5,505.5,55346,155,0
513.5,505.5,55347,156,0
514.5,506.5,55348,157,0
515.5,506.5,55349,158,0
516.5,503.5,55350,159,0
516.5,506.5,55351,160,0
514.5,506.5,55352,161,0
516.5,504.5,55353,162,0
516.5,505.5,55354,163,0
517.5,506.5,55355,164,0
516.5,505.5,55356,165,0
515.5,506.5,55357,166,0
516.5,506.5,55358,167,0
516.5,506.5,55359,168,0
516.5,506.5,55360,169,0
516.5,506.5,55361,170,0
516.5,506.5,55362,171,0
515.5,507.5,55363,172,0
516.5,507.5,55364,173,0
514.5,506.5,55365,174,0
512.5,506.5,55366,175,0
513.5,507.5,55367,176,0
515.5,507.5,55368,177,0
515.5,507.5,55369,178,0
514.5,507.5,55370,179,0
514.5,506.5,55371,180,0
513.5,506.5,55372,181,0
515.5,506.5,55373,182,0
512.5,507.5,55374,183,0
515.5,506.5,55375,184,0
514.5,507.5,55376,185,0
514.5,506.5,55377,186,0
511.5,508.5,55378,187,0
511.5,508.5,55379,188,0
513.5,506.5,55380,189,0
512.5,507.5,55381,190,0
511.5,509.5,55382,191,0
511.5,508.5,55383,192,0
511.5,509.5,55384,193,0
511.5,508.5,55385,194,0
511.5,509.5,55386,195,0
508.5,509.5,55387,196,0
508.5,510.5,55388,197,0
510.5,509.5,55389,198,0
510.5,509.5,55390,199,0
509.5,510.5,55391,200,0
509.5,510.5,55392,201,0
506.5,515.5,55393,202,0
509.5,510.5,55394,203,0
510.5,510.5,55395,204,0
509.5,511.5,55396,205,0
508.5,511.5,55397,206,0
507.5,510.5,55398,207,0
507.5,511.5,55399,208,0
