particle,frame,x,y,c1,c2,c3
1,1,204,141,-1.000,-1.000,8121
1,2,207,132,1.224,0.612,7249
1,3,201,146,1.965,0.982,7296
1,4,197,125,2.758,1.379,10532
1,5,204,127,0.939,0.470,7976
1,6,204,124,0.387,0.194,9272
1,7,206,126,0.365,0.182,6851
1,8,202,146,2.631,1.316,6723
1,9,192,149,1.347,0.673,6654
1,10,203,148,1.425,0.712,6070
1,11,206,132,2.100,1.050,6132
1,12,202,149,2.253,1.126,8230
1,13,204,151,0.365,0.182,8192
1,14,203,148,0.408,0.204,5315
1,15,205,130,2.336,1.168,6061
1,16,207,127,0.465,0.233,5026
1,17,208,123,0.532,0.266,5626
1,18,207,133,1.296,0.648,9972
1,19,206,125,1.040,0.520,6922
1,20,205,104,2.712,1.356,7321
1,21,210,132,3.669,1.835,8148
1,22,204,134,0.816,0.408,6181
1,23,205,133,0.182,0.091,5594
1,24,210,120,1.797,0.898,9004
1,25,204,98,2.942,1.471,8800
1,26,206,108,1.316,0.658,9785
1,27,202,100,1.154,0.577,8158
1,28,204,98,0.365,0.182,7720
1,29,203,105,0.912,0.456,7405
1,30,194,89,2.368,1.184,8775
1,31,201,102,1.905,0.952,10138
1,32,206,118,2.162,1.081,5994
1,33,204,120,0.365,0.182,8157
1,34,206,111,1.189,0.595,8181
1,35,208,118,0.939,0.470,10498
1,36,206,132,1.824,0.912,7030
1,37,208,132,0.258,0.129,5124
1,38,201,120,1.792,0.896,12432
1,39,200,115,0.658,0.329,10124
1,40,201,132,2.197,1.098,10174
1,41,205,123,1.271,0.635,10974
1,42,202,112,1.471,0.735,8193
1,43,206,113,0.532,0.266,7921
1,44,205,119,0.785,0.392,7209
1,45,194,117,1.442,0.721,12502
1,46,197,118,0.408,0.204,10963
1,47,206,124,1.395,0.698,9041
1,48,206,130,0.774,0.387,12155
1,49,193,121,2.040,1.020,15104
1,50,193,116,0.645,0.323,11311
1,51,197,133,2.253,1.126,5322
1,52,190,147,2.019,1.010,5082
1,53,185,158,1.559,0.779,7443
1,54,196,158,1.419,0.710,9531
1,55,200,146,1.632,0.816,12453
1,56,207,123,3.101,1.551,7822
1,57,204,107,2.100,1.050,11436
1,58,203,123,2.068,1.034,6253
1,59,207,122,0.532,0.266,6997
1,60,205,112,1.316,0.658,7214
1,61,205,111,0.129,0.065,6743
1,62,203,125,1.824,0.912,6106
1,63,202,134,1.168,0.584,7012
1,64,206,128,0.930,0.465,8318
1,65,202,145,2.253,1.126,7943
1,66,207,126,2.534,1.267,6994
1,67,205,110,2.080,1.040,9924
1,68,204,119,1.168,0.584,9340
1,69,206,103,2.080,1.040,7463
1,70,206,122,2.451,1.226,9216
1,71,205,128,0.785,0.392,6313
1,72,205,121,0.903,0.452,9536
1,73,208,105,2.100,1.050,7244
1,74,207,128,2.970,1.485,9109
1,75,203,126,0.577,0.288,7296
1,76,200,118,1.102,0.551,11056
1,77,203,103,1.973,0.987,9488
1,78,197,113,1.504,0.752,15208
1,79,200,137,3.120,1.560,13277
1,80,197,149,1.596,0.798,6405
1,81,202,150,0.658,0.329,8297
1,82,205,120,3.889,1.945,10538
1,83,207,128,1.064,0.532,8001
1,84,201,133,1.008,0.504,7046
1,85,197,143,1.389,0.695,6149
1,86,191,132,1.616,0.808,6947
1,87,198,123,1.471,0.735,7530
1,88,196,146,2.978,1.489,8207
1,89,202,138,1.290,0.645,7083
1,90,201,136,0.288,0.144,8056
1,91,205,112,3.139,1.569,7964
1,92,205,118,0.774,0.387,7106
1,93,205,127,1.161,0.581,9716
1,94,201,148,2.758,1.379,11355
1,95,204,140,1.102,0.551,12583
1,96,195,142,1.189,0.595,16275
1,97,195,115,3.483,1.742,14048
1,98,203,108,1.371,0.686,7941
1,99,208,118,1.442,0.721,8740
1,100,197,107,2.007,1.003,6184
1,101,189,94,1.969,0.985,5461
1,102,196,103,1.471,0.735,4785
1,103,199,107,0.645,0.323,7292
1,104,208,119,1.935,0.968,7311
1,105,203,121,0.695,0.347,7619
1,106,204,136,1.939,0.970,6680
1,107,200,151,2.003,1.001,7257
1,108,204,139,1.632,0.816,6393
1,109,198,140,0.785,0.392,7127
1,110,202,127,1.755,0.877,8701
1,111,197,108,2.534,1.267,7410
1,112,192,125,2.286,1.143,6368
1,113,194,115,1.316,0.658,5620
1,114,194,116,0.129,0.065,5720
1,115,205,111,1.559,0.779,6134
1,116,205,112,0.129,0.065,7463
1,117,201,100,1.632,0.816,8913
1,118,194,92,1.371,0.686,5012
1,119,184,96,1.389,0.695,4598
1,120,199,112,2.829,1.415,7511
1,121,204,132,2.659,1.330,7612
1,122,204,134,0.258,0.129,8917
1,123,201,140,0.865,0.433,6398
1,124,199,146,0.816,0.408,9446
1,125,208,132,2.147,1.073,7024
1,126,206,114,2.336,1.168,6778
1,127,204,124,1.316,0.658,4701
1,128,204,127,0.387,0.194,6573
1,129,206,129,0.365,0.182,8110
1,130,203,139,1.347,0.673,8589
1,131,205,128,1.442,0.721,8033
1,132,202,127,0.408,0.204,6584
1,133,206,126,0.532,0.266,7243
1,134,207,115,1.425,0.712,11221
1,135,208,123,1.040,0.520,7526
1,136,204,132,1.271,0.635,10743
1,137,204,134,0.258,0.129,10212
1,138,200,150,2.128,1.064,7216
1,139,195,147,0.752,0.376,8270
1,140,201,129,2.448,1.224,5685
1,141,199,128,0.288,0.144,6394
1,142,201,101,3.493,1.746,8199
1,143,200,99,0.288,0.144,7615
1,144,200,93,0.774,0.387,9407
1,145,200,101,1.032,0.516,6146
1,146,196,105,0.730,0.365,6004
1,147,196,102,0.387,0.194,6182
