C1,C2,C3,C4,C5,C6,C7
5,1,842,589,-1.000,-1.000,3294
5,2,755,722,20.502,10.251,3105
5,3,765,756,4.572,2.286,3511
5,4,757,853,12.555,6.278,4017
5,5,772,874,3.329,1.665,5998
5,6,826,794,12.451,6.226,7841
5,7,904,699,15.857,7.928,5545
5,8,896,720,2.899,1.449,5908
5,9,853,591,17.541,8.771,6708
5,10,826,454,18.013,9.006,6026
5,11,778,414,8.060,4.030,6997
5,12,885,419,13.818,6.909,5268
5,13,893,501,10.628,5.314,4665
5,14,904,588,11.312,5.656,4352
5,15,921,565,3.689,1.845,8793
5,16,936,563,1.952,0.976,6026
5,17,911,675,14.804,7.402,5847
5,18,920,609,8.593,4.296,3827
5,19,948,596,3.982,1.991,5217
5,20,958,455,18.235,9.117,6081
5,21,947,420,4.733,2.366,4571
5,22,944,340,10.327,5.164,5191
5,23,944,366,3.354,1.677,9814
5,24,930,447,10.604,5.302,8712
5,25,871,609,22.241,11.120,7594
5,26,706,572,21.814,10.907,7125
5,27,728,489,11.077,5.538,7071
5,28,717,546,7.489,3.744,7308
5,29,871,566,20.033,10.016,6031
5,30,865,523,5.601,2.800,6552
5,31,708,385,26.965,13.482,7629
5,32,745,449,9.536,4.768,7737
5,33,755,491,5.569,2.785,7002
5,34,765,496,1.442,0.721,4503
5,35,859,748,34.696,17.348,5663
5,36,851,840,11.913,5.956,3353
5,37,770,806,11.332,5.666,3236
5,38,680,782,12.016,6.008,3350
5,40,646,837,8.341,4.171,2965
5,41,830,696,29.904,14.952,3805
5,42,794,732,6.568,3.284,3809
5,43,751,786,8.905,4.452,4097
5,44,799,783,6.204,3.102,5287
5,45,941,577,32.276,16.138,5347
5,46,1001,513,11.317,5.658,5468
5,47,984,596,10.929,5.465,4810
5,48,924,703,15.825,7.912,4887
5,49,927,668,4.532,2.266,6943
5,50,907,546,15.948,7.974,8704
5,51,865,467,11.542,5.771,7192
5,52,896,500,5.841,2.920,6924
5,53,915,512,2.899,1.449,4676
5,54,970,516,7.114,3.557,2123
5,55,952,578,8.328,4.164,3555
5,56,940,611,4.530,2.265,4639
5,57,920,661,6.947,3.473,4040
5,58,912,714,6.914,3.457,4557
5,59,945,656,8.608,4.304,6700
5,60,959,604,6.947,3.473,6978
5,61,962,589,1.973,0.987,5411
5,62,954,553,4.757,2.379,5052
5,63,956,416,17.675,8.837,4832
5,64,932,390,4.564,2.282,4292
5,65,953,305,11.295,5.647,5717
5,66,933,325,3.649,1.824,5127
5,67,937,375,6.471,3.235,5230
5,68,895,233,19.102,9.551,5425
5,69,945,361,17.727,8.864,4862
5,70,935,383,3.117,1.559,4513
5,71,960,366,3.900,1.950,5527
5,72,958,337,3.750,1.875,5551
5,73,981,401,8.773,4.386,6525
5,74,928,328,11.637,5.819,7240
5,75,837,246,15.802,7.901,7236
5,76,900,372,18.173,9.086,5787
5,77,934,398,5.521,2.761,6031
5,78,940,443,5.856,2.928,4731
5,79,953,523,10.455,5.228,5140
5,80,943,482,5.444,2.722,4944
5,81,923,530,6.708,3.354,5727
5,82,927,582,6.728,3.364,4442
5,83,931,595,1.755,0.877,5076
5,84,922,630,4.662,2.331,3870
5,85,931,567,8.210,4.105,5662
5,86,924,488,10.231,5.115,3899
5,87,910,347,18.278,9.139,4122
5,88,901,299,6.300,3.150,4236
5,89,915,286,2.465,1.232,4993
5,90,928,303,2.761,1.380,5807
5,91,906,288,3.435,1.717,5865
5,92,932,323,5.624,2.812,5763
5,93,937,396,9.439,4.720,4552
5,94,956,467,9.481,4.741,4724
5,95,925,445,4.904,2.452,3720
5,96,940,555,14.321,7.161,4644
5,97,937,620,8.394,4.197,4685
5,98,946,576,5.794,2.897,4751
5,99,946,555,2.709,1.355,4715
5,100,969,602,6.750,3.375,5435
5,101,956,679,10.074,5.037,5443
5,102,895,817,19.464,9.732,5347
5,103,861,868,7.907,3.953,5621
5,104,975,741,22.015,11.008,4697
5,105,940,770,5.863,2.932,3954
5,106,965,723,6.867,3.434,3830
