particle,frame,x,y,c1,c2,c3
1,1,722,428,-1.000,-1.000,5507
1,2,724,438,1.316,0.658,5349
1,3,725,426,1.553,0.777,4853
1,4,724,412,1.811,0.905,4672
1,5,725,420,1.040,0.520,5510
1,6,722,438,2.354,1.177,5404
1,7,721,444,0.785,0.392,5122
1,8,725,429,2.003,1.001,4853
1,9,724,401,3.614,1.807,5322
1,10,718,362,5.090,2.545,4476
1,11,717,352,1.296,0.648,5292
1,12,721,361,1.271,0.635,5121
1,13,721,372,1.419,0.710,5338
1,14,721,380,1.032,0.516,5489
1,15,725,393,1.755,0.877,5576
1,16,726,406,1.682,0.841,5090
1,17,729,404,0.465,0.233,4778
1,18,728,396,1.040,0.520,4998
1,19,725,406,1.347,0.673,5432
1,20,729,429,3.012,1.506,5241
1,21,724,441,1.677,0.839,6221
1,22,726,425,2.080,1.040,4939
1,23,726,401,3.096,1.548,5122
1,24,724,376,3.235,1.618,4600
1,25,720,377,0.532,0.266,4463
1,26,724,388,1.510,0.755,4812
1,27,720,389,0.532,0.266,5293
1,28,724,401,1.632,0.816,5033
1,29,724,421,2.580,1.290,5611
1,30,725,433,1.553,0.777,5396
1,31,725,420,1.677,0.839,5002
1,32,726,401,2.454,1.227,5883
1,33,728,398,0.465,0.233,5799
1,34,726,398,0.258,0.129,5193
1,35,726,425,3.483,1.742,4431
1,36,724,426,0.288,0.144,5028
1,37,728,414,1.632,0.816,5328
1,38,724,405,1.271,0.635,4636
1,39,725,432,3.485,1.743,5469
1,40,720,454,2.910,1.455,4499
1,41,721,448,0.785,0.392,4362
1,42,726,413,4.561,2.280,4432
1,43,721,409,0.826,0.413,5702
1,44,722,432,2.970,1.485,4898
1,45,722,421,1.419,0.710,5977
1,46,724,417,0.577,0.288,5173
1,47,725,412,0.658,0.329,6193
1,48,725,414,0.258,0.129,6517
1,49,728,406,1.102,0.551,5763
1,50,725,429,2.992,1.496,4672
1,51,725,432,0.387,0.194,6264
1,52,728,412,2.609,1.304,4786
1,53,726,382,3.879,1.939,5085
1,54,721,373,1.328,0.664,4978
1,55,721,385,1.548,0.774,5046
1,56,728,400,2.135,1.068,4676
1,57,724,420,2.631,1.316,5503
