Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,2,322,139,-1.000,-1.000,5307
1,4,379,209,11.645,5.823,2892
1,6,331,211,6.197,3.099,4680
1,8,331,236,3.225,1.613,7732
1,10,321,198,5.069,2.534,5030
1,12,332,235,4.979,2.490,8147
1,14,335,232,0.547,0.274,5336
1,16,347,235,1.596,0.798,4549
1,18,351,232,0.645,0.323,4693
1,20,343,245,1.969,0.985,5024
1,22,344,199,5.935,2.968,6567
1,24,332,158,5.511,2.755,4298
1,26,341,179,2.947,1.474,6373
1,28,368,272,12.492,6.246,4830
1,30,321,366,13.557,6.779,4380
1,32,277,400,7.173,3.587,5040
1,34,267,402,1.316,0.658,7228
1,36,243,411,3.307,1.653,4757
1,38,248,415,0.826,0.413,4679
1,40,247,418,0.408,0.204,8299
1,42,301,391,7.788,3.894,8295
1,44,336,358,6.205,3.103,6916
1,46,297,377,5.596,2.798,7612
1,48,216,419,11.770,5.885,5085
1,50,240,380,5.907,2.954,5823
1,52,227,304,9.946,4.973,5569
1,54,243,341,5.200,2.600,6094
1,56,305,377,9.248,4.624,5834
1,58,189,408,15.489,7.745,5209
1,60,231,398,5.569,2.785,5513
1,62,199,359,6.508,3.254,4913
1,64,169,366,3.974,1.987,8230
1,66,283,379,14.801,7.401,4776
1,68,339,292,13.347,6.673,5802
1,70,314,287,3.289,1.644,6834
1,72,277,268,5.366,2.683,5621
1,74,153,390,22.440,11.220,6545
1,76,348,230,32.539,16.269,9467
1,78,331,261,4.561,2.280,7724
1,80,314,324,8.418,4.209,7122
1,82,301,373,6.540,3.270,4065
1,84,324,364,3.186,1.593,7038
1,86,353,317,7.124,3.562,6477
1,88,323,344,5.207,2.603,5315
1,90,301,365,3.923,1.962,6524
1,92,344,323,7.754,3.877,5946
1,94,340,335,1.632,0.816,6145
1,96,367,301,5.601,2.800,4125
1,98,338,348,7.124,3.562,5815
1,100,351,270,10.201,5.100,4187
1,102,329,318,6.811,3.406,5362
1,104,315,176,18.407,9.203,5199
1,106,291,246,9.546,4.773,5273
1,108,262,234,4.049,2.024,5944
1,110,350,265,12.036,6.018,3739
1,112,366,227,5.319,2.659,4455
1,114,348,206,3.568,1.784,5477
1,116,347,226,2.583,1.292,7873
1,118,363,249,3.614,1.807,4245
1,120,369,277,3.694,1.847,10035
1,122,379,277,1.290,0.645,3329
1,124,372,314,4.858,2.429,6697
1,126,358,329,2.647,1.323,8371
1,128,361,322,0.982,0.491,9042
1,130,368,317,1.110,0.555,7909
1,132,373,303,1.918,0.959,5912
1,134,373,279,3.096,1.548,4651
1,136,366,199,10.359,5.180,5722
1,138,344,257,8.002,4.001,6670
1,140,343,307,6.451,3.226,4153
1,142,362,336,4.472,2.236,4365
1,144,366,271,8.401,4.200,4021
1,146,353,286,2.561,1.280,4165
1,148,349,297,1.510,0.755,3871
1,150,342,301,1.040,0.520,5397
1,152,344,290,1.442,0.721,4099
1,154,375,252,6.326,3.163,4131
1,156,312,263,8.250,4.125,4252
1,158,302,272,1.736,0.868,5942
1,160,278,282,3.354,1.677,4647
1,162,338,286,7.757,3.879,7809
1,164,309,182,13.928,6.964,8302
1,166,316,165,2.372,1.186,5592
1,168,361,216,8.774,4.387,5136
1,170,339,179,5.553,2.776,5879
1,171,285,175,6.985,3.493,5308
