particle,frame,x,y,Distance,Velocity,Pixel Value
1,1,515,258,-1.000,-1.000,34
1,2,518,260,0.465,0.233,41
1,3,534,281,3.406,1.703,164
1,4,522,306,3.577,1.789,33
1,5,519,307,0.408,0.204,31
1,6,521,312,0.695,0.347,26
1,7,520,308,0.532,0.266,35
1,8,523,335,3.504,1.752,38
1,9,527,348,1.755,0.877,53
1,10,525,359,1.442,0.721,67
1,11,525,353,0.774,0.387,64
1,12,526,330,2.970,1.485,50
1,13,525,307,2.970,1.485,71
1,14,524,289,2.326,1.163,51
1,15,524,304,1.935,0.968,36
1,16,524,324,2.580,1.290,36
1,17,526,312,1.569,0.785,27
1,18,526,337,3.225,1.613,54
1,19,526,337,0.000,0.000,61
1,20,526,350,1.677,0.839,59
1,21,521,361,1.559,0.779,34
1,22,523,341,2.593,1.296,42
1,23,519,348,1.040,0.520,27
1,24,520,366,2.326,1.163,37
1,25,519,368,0.288,0.144,52
1,26,519,349,2.451,1.226,41
1,27,518,336,1.682,0.841,34
1,28,520,322,1.824,0.912,30
1,29,521,306,2.068,1.034,41
1,30,519,298,1.064,0.532,33
1,31,518,297,0.182,0.091,32
1,32,517,292,0.658,0.329,30
1,33,522,304,1.677,0.839,31
1,34,521,327,2.970,1.485,30
1,35,523,343,2.080,1.040,50
1,36,522,367,3.099,1.549,54
1,37,516,390,3.066,1.533,28
1,38,517,385,0.658,0.329,37
1,39,517,379,0.774,0.387,34
1,40,514,387,1.102,0.551,27
1,41,505,403,2.368,1.184,36
1,42,491,436,4.624,2.312,32
1,43,482,456,2.829,1.415,38
1,44,464,485,4.403,2.202,29
1,45,480,467,3.107,1.553,54
1,46,484,461,0.930,0.465,32
1,47,466,472,2.721,1.361,32
1,48,465,465,0.912,0.456,28
1,49,454,470,1.559,0.779,30
1,50,467,458,2.282,1.141,30
1,51,486,412,6.420,3.210,30
1,52,508,377,5.333,2.666,32
1,53,518,376,1.296,0.648,38
1,54,523,357,2.534,1.267,57
1,55,522,366,1.168,0.584,68
1,56,521,356,1.296,0.648,119
1,57,524,361,0.752,0.376,126
1,58,525,342,2.454,1.227,100
1,59,527,311,4.007,2.004,69
1,60,522,301,1.442,0.721,38
1,61,525,328,3.504,1.752,47
1,62,521,369,5.314,2.657,57
1,63,512,391,3.066,1.533,35
1,64,516,360,4.032,2.016,31
1,65,511,347,1.797,0.898,29
1,66,521,353,1.504,0.752,26
1,67,522,351,0.288,0.144,35
1,68,521,343,1.040,0.520,32
1,69,522,316,3.485,1.743,30
1,70,524,294,2.850,1.425,58
1,71,520,283,1.510,0.755,33
1,72,521,287,0.532,0.266,48
1,73,522,284,0.408,0.204,66
1,74,513,250,4.537,2.269,127
1,75,517,276,3.393,1.697,148
1,76,509,270,1.290,0.645,162
1,77,514,284,1.918,0.959,191
1,78,524,297,2.116,1.058,109
1,79,524,301,0.516,0.258,62
1,80,526,341,5.166,2.583,50
1,81,524,360,2.465,1.232,61
1,82,524,352,1.032,0.516,50
1,83,526,337,1.952,0.976,54
1,84,525,333,0.532,0.266,72
1,85,523,330,0.465,0.233,44
1,86,522,323,0.912,0.456,35
1,87,518,344,2.758,1.379,50
1,88,519,357,1.682,0.841,32
