params,params,params,params,params,analysis,analysis,analysis,analysis,analysis,analysis,analysis,Visual,Visual,Visual
Date,Subfolder,BC,MPP,FPS,ID,OD,a,b,c,2D-trajectory,3D-trajectory,2D-image,3D-projection,3D-outRef
7132021,2021-07-13_17h17m24s,20,0.1,30,34.5,100.5,45.4,49.0,,1,1,0,0,0
7202021,1st-drop-tracking/2021-07-20_16h24m06s-mttry,32,0.1,30,8.8,66.0,51.4,51.2,,1,1,1,1,1
7202021,1st-drop-tracking/2021-07-20_16h25m35s-m2,32,0.1,30,9.0,69.5,51.3,52.0,,1,1,1,1,1
7202021,1st-drop-tracking/2021-07-20_16h27m01s-m3,32,0.1,30,9.0,69.2,50.9,51.8,,1,1,1,1,1
7202021,1st-drop-tracking/2021-07-20_16h28m21s-m4,32,0.1,30,9.1,69.3,51.2,51.2,,1,1,1,1,1
7202021,1st-drop-tracking/2021-07-20_16h29m43s-m5,32,0.1,30,8.6,65.2,51.7,51.7,,1,1,1,1,1
7202021,1st-drop-tracking/2021-07-20_16h31m06s,32,0.1,30,8.9,65.5,51.7,51.0,,1,1,1,1,1
7202021,1st-drop-tracking/2021-07-20_16h32m59s,32,0.1,30,9.2,67.7,51.7,51.2,,1,1,1,1,1
7202021,1st-drop-tracking/2021-07-20_16h34m28s,32,0.1,30,8.7,67.6,51.5,51.3,,1,0,0,0,0
7202021,1st-drop-tracking/2021-07-20_16h35m47s,32,0.1,30,8.9,65.1,52.2,51.4,,1,0,0,0,0
7202021,1st-drop-tracking/2021-07-20_16h42m46s,32,0.1,30,8.4,71.7,51.8,51.4,,1,1,0,1,1
7202021,1st-drop-tracking/2021-07-20_16h43m54s,32,0.1,30,8.9,65.8,52.1,51.6,,1,0,0,0,0
7202021,1st-drop-tracking/2021-07-20_16h44m58s,32,0.1,30,9.2,66.4,52.4,50.4,,1,0,0,0,0
7202021,1st-drop-tracking/2021-07-20_16h47m59s,32,0.1,30,9.0,68.9,52.5,51.8,,1,0,0,0,0
7202021,1st-drop-tracking/2021-07-20_16h50m22s,32,0.1,30,9.6,70.8,51.3,51.2,,1,0,0,0,0
7202021,1st-drop-tracking/2021-07-20_16h51m25s,32,0.1,30,9.5,70.1,51.2,51.0,,1,1,0,1,0
7212021,2021-07-21_16h41m52s,23,0.16,30,11.1,50.4,36.2,29.4,,1,1,0,1,1
7212021,2021-07-21_16h43m03s,23,0.16,30,6.8,37.1,20.4,16.9,,0,0,0,0,0
8042021,2021-08-04_16h32m08s,24,0.1,30,48.5,89.6,49.7,51.4,,0,0,0,0,0
8042021,2021-08-04_16h37m16s,24,0.1,30,46.0,85.5,52.2,52.7,,0,0,0,0,0
8122021,2021-08-12_16h41m05s,23,0.1,30,38.2,80.1,48.8,56.9,,1,1,1,0,0
8122021,2021-08-12_16h44m01s,23,0.1,30,35.5,90.2,50.7,51.4,,0,0,0,0,0
8122021,2021-08-12_16h47m32s,23,0.1,30,39.9,106.8,51.0,50.9,,0,0,0,0,0
8122021,2021-08-12_16h53m13s,23,0.1,30,31.5,67.8,50.5,51.7,,0,0,0,0,0
