lagt,<y^2>
1.0,19.279532019704433
2.0,40.934857236842106
3.0,55.242460296540365
4.0,62.28822425742574
5.0,65.53524
6.0,66.87792201986754
7.0,68.28987164179105
8.0,68.55675083056478
9.0,68.76305174708818
10.0,68.75980283333334
11.0,68.74042320534224
12.0,70.33519565217391
13.0,71.89240335008375
14.0,73.50116577181208
15.0,73.35445025210085
16.0,72.5357111111111
17.0,71.5356897133221
18.0,71.65810084459459
19.0,70.23364128595601
20.0,69.61505305084746
21.0,69.09198607809849
22.0,69.52326632653062
23.0,71.64877921635436
24.0,70.83348259385666
25.0,71.3462952136752
26.0,73.85162482876713
27.0,76.76592830188679
28.0,77.86688883161513
29.0,75.78975576592082
30.0,74.10177689655174
31.0,73.09031122625217
32.0,73.11831124567475
33.0,74.53637746967071
34.0,75.99970086805557
35.0,76.06102086956521
36.0,75.03243728222998
37.0,73.57866404886562
38.0,73.71963076923076
39.0,72.15162189141857
40.0,71.2047638596491
41.0,71.2153474516696
42.0,70.30702869718311
43.0,68.10900070546738
44.0,69.33451784452298
45.0,69.91287911504423
46.0,68.65494946808512
47.0,68.0584595026643
48.0,67.33880373665481
49.0,67.77785882352941
50.0,68.08203285714285
51.0,68.87913094812164
52.0,70.09460609318997
53.0,71.2503829443447
54.0,71.41369946043166
55.0,70.72170936936936
56.0,67.71507274368231
57.0,65.73632423146475
58.0,64.7933518115942
59.0,63.50932050816697
60.0,65.466082
