Date,Video#,DE#,MPP,FPS,OD,D,D_err,d,d_err,Easy to analyze?,Plane,Comment,x0,y0,Rinfy,t2,(D-d)/d^2,D-d,d^3/(D-d),t1_fit,t2_fit,DA_fit,(D-d)/d,DA/OD,c,number of bacteria,mean velocity (1s),mean velocity middle,mean velocity end
10/26/21,11,23,0.11,50,65,48.9,,17,,Yes,XZ,,,,9,3.2,0.11,31.90,154.01,,2.42,2.13,1.88,0.0327420999512908,0.400819976293243,"3,048",1.925,,
10/26/21,12,24,0.11,50,65,74,,15.4,,Yes,XZ,small inner drop,,,150,6.3,0.25,58.60,62.33,,3.62,24.34,3.81,0.374461538461538,0.888276883682195,"10,928",1.716,,
10/26/21,13,25,0.11,50,65,63.4,,30.9,,Yes,XZ,large inner drop,,,4,,0.03,32.50,907.80,,1.66,1.28,1.05,0.0197164323772825,0.259675293562857,"6,132",0.847,,
11/01/21,6,30,0.11,50,85,44.9,,6.9,,Yes,XY,Motility improves several minutes after centrifuge,,,50,9,0.80,38.00,8.64,,7.45,4.36,5.51,0.0513281933652157,0.918390128268769,"3,210",,,
11/01/21,8,32,0.11,50,85,80.2,,38.7,,Yes,XZ,big inner droplet,,,,,0.03,41.50,1396.64,,44.53,0.18,1.07,0.00206543356795928,0.448290780085406,"16,295",1.496,,
11/02/21,1,35,0.11,50,42,47,,9.5,,,XZ,"droplet does not fall to bottom, but suspend in the middle of nowhere, good video with entire outer droplet visible",,,30,11,0.42,37.50,22.86,,8.87,1.91,3.95,0.0455892108514052,0.63102535508029,"1,811",1.18,1.13,0.96
11/02/21,3,37,0.11,50,42,93.6,,26.9,,,XZ,,,,8.3,3.6,0.09,66.70,291.83,,2.11,2.11,2.48,0.0502078067624217,0.186872394088868,"14,077",1.03,0.99,0.96
11/02/21,5,38,0.33,50,51,140,,20,,,XZ,"very large outer drop 140/20, have to use 20x for imaging",,,33,3.8,0.30,120.00,66.67,,2.14,8.41,6.00,0.164950321200355,0.212199353339305,"58,419",3.09,2.69,2.4
11/02/21,8,39,0.11,50,41,110,,20,,,XZ,"i) fps lower than 50 due to disk speed, need to install SSD, ii) this is the x-y image of the same de in image 08, iii) outer drop is getting larger due to coalescence.",,,70,3.5,0.23,90.00,88.89,,2.07,18.38,4.50,0.448201147970293,0.400000380881912,"22,710",1.01,1.08,0.98
11/02/21,9,40,0.11,47.8,41,109.4,,23.2,,,XY,,,,45,3.4,0.16,86.20,144.86,,1.59,15.15,3.72,0.369585234698851,0.333796256344019,"22,261",0.97,1.03,0.94
11/02/21,13,41,0.65,50,61,201.2,,51.4,,Yes,XZ,,,,28,4.4,0.06,149.80,906.52,,2.63,5.99,2.91,0.0981436175398053,0.159871800351156,"204,541",2.25,3.96,2.76
11/02/21,14,42,0.11,50,61,137.5,,27,,No,XZ,triple emulsion,,,,,0.15,110.50,178.13,,1.75,13.87,4.09,0.227454948345692,0.250763396723426,"65,888",3.18,3.39,6.27
11/02/21,16,43,0.11,50,65,100,,30,,Yes,XZ,Big droplet increasing size,,,90,3.6,0.08,70.00,385.71,,2.93,15.94,2.33,0.2453010434162,0.623414514401482,"26,479",1.48,9.06,13
11/02/21,17,44,0.33,50,65,179.1,,28,,Yes,XZ,big outer droplet,383,327,95,3.7,0.19,151.10,145.28,,1.94,26.17,5.40,0.402685469371072,0.272762800260466,"155,742",3.94,5.43,3.84
11/02/21,18,45,0.33,50,65,257.7,,37.7,,Yes,XZ,big outer droplet,,,100,4,0.15,220.00,243.56,,1.97,28.21,5.84,0.433924779600295,0.191811238639449,"464,262",4.13,3.79,4
11/02/21,19,46,0.33,50,65,239.8,,36.1,,Yes,XZ,big outer droplet,,,100,3.2,0.16,203.70,230.96,,1.55,37.07,5.64,0.570331521411588,0.218305051650761,"373,977",3.92,4.48,4.14
11/02/21,21,48,0.33,50,65,197.3,,24.7,,No,XZ,"small inner, last video of the day..",,,240,5,0.28,172.60,87.31,,3.03,42.61,6.99,0.655548577483972,0.378539005674405,"208,598",3.79,3.45,3.52
11/03/21,2,50,0.33,50,111,155.7,,37.7,,Yes,XZ,,,,190,6.8,0.08,118.00,454.09,,7.20,12.89,3.13,0.116163617862463,0.473811929016166,"172,921",3.62,3.72,3.34
11/03/21,4,51,0.33,50,66,132.6,,15.6,,No,XZ,,,,850,15,0.48,117.00,32.45,,9.56,47.04,7.50,0.712788962830555,1.06475306609824,"64,318",4.76,3.83,3.36
