x,y,particle,frame
237,292,0,0
222,293,0,50
221,353,0,100
284,371,0,150
386,353,0,200
238,235,0,250
307,290,0,300
372,364,0,350
281,266,0,400
338,273,0,450
368,331,0,500
303,407,0,550
254,253,0,600
309,299,0,650
309,255,0,700
293,239,0,750
428,252,0,800
363,328,0,850
349,404,0,900
307,285,0,950
328,228,0,1000
299,162,0,1050
233,248,0,1100
219,213,0,1150
213,197,0,1200
367,174,0,1250
408,254,0,1300
390,237,0,1350
326,190,0,1400
242,246,0,1450
221,393,0,1500
302,403,0,1550
416,391,0,1600
398,388,0,1650
436,229,0,1700
342,227,0,1750
335,219,0,1800
412,227,0,1850
410,260,0,1900
378,329,0,1950
320,377,0,2000
228,306,0,2050
197,263,0,2100
222,318,0,2150
196,297,0,2200
182,296,0,2250
234,393,0,2300
412,193,0,2350
300,261,0,2400
351,310,0,2450
362,169,0,2500
216,289,0,2550
233,242,0,2600
340,177,0,2650
317,204,0,2700
285,220,0,2750
275,230,0,2800
250,223,0,2850
252,261,0,2900
338,260,0,2950
327,242,0,3000
330,283,0,3050
292,277,0,3100
321,215,0,3150
322,280,0,3200
318,197,0,3250
340,259,0,3300
269,243,0,3350
242,265,0,3400
263,339,0,3450
227,246,0,3500
187,218,0,3550
308,296,0,3600
224,235,0,3650
249,260,0,3700
184,352,0,3750
389,370,0,3800
216,409,0,3850
167,257,0,3900
279,241,0,3950
368,170,0,4000
385,236,0,4050
211,264,0,4100
236,288,0,4150
199,353,0,4200
293,381,0,4250
266,209,0,4300
367,228,0,4350
345,248,0,4400
404,265,0,4450
396,298,0,4500
345,375,0,4550
419,304,0,4600
381,321,0,4650
376,298,0,4700
326,258,0,4750
370,273,0,4800
357,282,0,4850
334,304,0,4900
341,306,0,4950
355,353,0,5000
240,345,0,5050
354,333,0,5100
301,370,0,5150
269,387,0,5200
200,308,0,5250
214,304,0,5300
228,364,0,5350
330,353,0,5400
370,207,0,5450
398,330,0,5500
358,417,0,5550
403,258,0,5600
352,275,0,5650
391,285,0,5700
433,288,0,5750
422,368,0,5800
357,225,0,5850
386,272,0,5900
326,316,0,5950
344,325,0,6000
331,303,0,6050
331,326,0,6100
238,333,0,6150
228,277,0,6200
281,206,0,6250
382,215,0,6300
415,273,0,6350
275,396,0,6400
249,283,0,6450
259,391,0,6500
239,378,0,6550
213,277,0,6600
247,199,0,6650
278,372,0,6700
306,393,0,6750
341,403,0,6800
361,398,0,6850
382,389,0,6900
423,372,0,6950
336,373,0,7000
371,362,0,7050
398,321,0,7100
340,387,0,7150
301,351,0,7200
267,261,0,7250
315,284,0,7300
282,238,0,7350
293,220,0,7400
288,224,0,7450
288,268,0,7500
372,239,0,7550
314,194,0,7600
401,287,0,7650
322,367,0,7700
317,370,0,7750
275,306,0,7800
218,316,0,7850
249,321,0,7900
356,368,0,7950
288,375,0,8000
334,370,0,8050
386,302,0,8100
324,248,0,8150
278,312,0,8200
270,205,0,8250
238,230,0,8300
276,225,0,8350
309,209,0,8400
253,223,0,8450
237,208,0,8500
321,340,0,8550
227,297,0,8600
214,285,0,8650
347,196,0,8700
298,197,0,8750
252,236,0,8800
220,312,0,8850
232,263,0,8900
209,257,0,8950
194,298,0,9000
186,298,0,9050
209,331,0,9100
210,265,0,9150
223,303,0,9200
239,283,0,9250
195,307,0,9300
236,403,0,9350
253,347,0,9400
245,344,0,9450
344,291,0,9500
244,376,0,9550
253,234,0,9600
211,271,0,9650
188,266,0,9700
362,357,0,9750
394,363,0,9800
274,331,0,9850
263,339,0,9900
345,401,0,9950
283,367,0,10000
212,306,0,10050
184,298,0,10100
273,246,0,10150
210,287,0,10200
277,347,0,10250
368,384,0,10300
343,386,0,10350
363,403,0,10400
395,315,0,10450
403,229,0,10500
331,196,0,10550
391,249,0,10600
387,309,0,10650
