particle,frame,x,y,C5,C6,C7
3,1,311,150,-1.000,-1.000,15769
3,2,311,149,0.129,0.065,15950
3,3,311,151,0.258,0.129,14573
3,4,312,151,0.129,0.065,16530
3,5,312,148,0.387,0.194,13983
3,6,312,150,0.258,0.129,15478
3,7,311,149,0.182,0.091,17219
3,8,312,149,0.129,0.065,10716
3,9,311,150,0.182,0.091,15046
3,10,311,152,0.258,0.129,11459
3,11,311,151,0.129,0.065,11024
3,12,312,151,0.129,0.065,13843
3,13,310,153,0.365,0.182,11723
3,14,310,154,0.129,0.065,13070
3,15,310,153,0.129,0.065,14978
3,16,312,155,0.365,0.182,14311
3,17,314,150,0.695,0.347,14264
3,18,311,150,0.387,0.194,17582
3,19,313,149,0.288,0.144,14088
3,20,314,149,0.129,0.065,13831
3,21,315,147,0.288,0.144,13210
3,22,316,144,0.408,0.204,14548
3,23,312,150,0.930,0.465,14133
3,24,314,149,0.288,0.144,13977
3,25,314,151,0.258,0.129,13103
3,26,314,150,0.129,0.065,13972
3,27,313,149,0.182,0.091,14962
3,28,313,150,0.129,0.065,16493
3,29,313,148,0.258,0.129,14308
3,30,313,147,0.129,0.065,12594
3,31,314,150,0.408,0.204,14191
3,32,314,145,0.645,0.323,18534
3,33,315,142,0.408,0.204,12993
3,34,314,147,0.658,0.329,12558
3,35,314,149,0.258,0.129,14305
3,36,315,151,0.288,0.144,13686
3,37,312,149,0.465,0.233,14928
3,38,313,144,0.658,0.329,13397
3,39,313,142,0.258,0.129,14739
3,40,312,148,0.785,0.392,18050
3,41,310,153,0.695,0.347,12664
3,42,312,156,0.465,0.233,15586
3,43,312,157,0.129,0.065,13402
3,44,312,159,0.258,0.129,12577
3,45,313,151,1.040,0.520,14448
3,46,311,147,0.577,0.288,15480
3,47,314,149,0.465,0.233,14559
3,48,313,145,0.532,0.266,15149
3,49,314,151,0.785,0.392,11866
3,50,312,158,0.939,0.470,12604
3,51,312,163,0.645,0.323,14638
3,52,313,155,1.040,0.520,13101
3,53,313,158,0.387,0.194,14344
3,54,314,157,0.182,0.091,13390
3,55,314,152,0.645,0.323,13390
3,56,312,152,0.258,0.129,15581
3,57,312,144,1.032,0.516,15078
3,58,312,145,0.129,0.065,14642
3,59,310,144,0.288,0.144,14945
3,60,311,149,0.658,0.329,16169
3,61,312,153,0.532,0.266,14061
3,62,313,151,0.288,0.144,13901
3,63,311,151,0.258,0.129,13089
3,64,310,157,0.785,0.392,13898
3,65,312,161,0.577,0.288,13807
3,66,313,153,1.040,0.520,13213
3,67,310,151,0.465,0.233,15922
3,68,314,149,0.577,0.288,13468
3,69,313,144,0.658,0.329,14999
3,70,311,145,0.288,0.144,13704
3,71,310,151,0.785,0.392,14584
3,72,311,156,0.658,0.329,12002
3,73,312,163,0.912,0.456,13657
3,74,312,162,0.129,0.065,15945
3,75,309,166,0.645,0.323,13454
3,76,310,159,0.912,0.456,12966
3,77,309,163,0.532,0.266,12332
3,78,312,167,0.645,0.323,14242
3,79,313,163,0.532,0.266,13829
3,80,314,159,0.532,0.266,12410
3,81,314,154,0.645,0.323,10663
3,82,312,147,0.939,0.470,11956
3,83,312,152,0.645,0.323,12278
3,84,313,155,0.408,0.204,13976
3,85,311,156,0.288,0.144,13088
3,86,310,160,0.532,0.266,14579
3,87,311,163,0.408,0.204,15734
3,88,311,163,0.000,0.000,12146
3,89,312,161,0.288,0.144,14278
3,90,311,154,0.912,0.456,13199
3,91,312,149,0.658,0.329,11987
3,92,311,149,0.129,0.065,13488
3,93,313,153,0.577,0.288,11684
3,94,312,157,0.532,0.266,13766
3,95,312,150,0.903,0.452,13589
3,96,313,148,0.288,0.144,12704
3,97,309,145,0.645,0.323,11790
3,98,311,149,0.577,0.288,12364
3,99,310,152,0.408,0.204,11980
3,100,310,149,0.387,0.194,12785
3,101,311,143,0.785,0.392,13994
3,102,311,140,0.387,0.194,13199
3,103,310,140,0.129,0.065,12885
3,104,311,144,0.532,0.266,12979
3,105,310,146,0.288,0.144,12565
3,106,310,148,0.258,0.129,14185
3,107,310,151,0.387,0.194,12052
3,108,310,149,0.258,0.129,12748
3,109,309,152,0.408,0.204,11866
3,110,311,155,0.465,0.233,13057
3,111,310,155,0.129,0.065,13142
3,112,310,160,0.645,0.323,13675
3,113,309,163,0.408,0.204,12623
3,114,307,167,0.577,0.288,12213
3,115,309,164,0.465,0.233,11505
3,116,310,160,0.532,0.266,14144
3,117,307,160,0.387,0.194,14026
3,118,308,160,0.129,0.065,12364
3,119,307,160,0.129,0.065,13263
3,120,308,164,0.532,0.266,11022
