particle,frame,x,y,c1,c2,c3
1,1,722,472,-1.000,-1.000,5511
1,2,719,472,0.387,0.194,4839
1,3,724,459,1.797,0.898,4848
1,4,740,472,2.659,1.330,5559
1,5,729,496,3.406,1.703,5423
1,6,728,501,0.658,0.329,4790
1,7,728,508,0.903,0.452,4967
1,8,729,508,0.129,0.065,4556
1,9,731,498,1.316,0.658,5422
1,10,732,496,0.288,0.144,4622
1,11,731,486,1.296,0.648,4729
1,12,732,476,1.296,0.648,4663
1,13,730,466,1.316,0.658,5641
1,14,733,487,2.737,1.368,5091
1,15,730,487,0.387,0.194,5966
1,16,733,500,1.721,0.861,5277
1,17,732,496,0.532,0.266,5418
1,18,730,503,0.939,0.470,4917
1,19,728,486,2.208,1.104,6016
1,20,731,492,0.865,0.433,4948
1,21,730,503,1.425,0.712,5135
1,22,729,502,0.182,0.091,5675
1,23,732,503,0.408,0.204,5051
1,24,731,514,1.425,0.712,5530
1,25,730,508,0.785,0.392,5244
1,26,729,500,1.040,0.520,4813
1,27,726,478,2.864,1.432,5268
1,28,726,493,1.935,0.968,4757
1,29,729,500,0.982,0.491,5138
1,30,730,496,0.532,0.266,5496
1,31,730,486,1.290,0.645,5103
1,32,732,487,0.288,0.144,5749
1,33,732,479,1.032,0.516,6433
1,34,731,456,2.970,1.485,6148
1,35,729,454,0.365,0.182,5101
1,36,729,459,0.645,0.323,4952
1,37,728,450,1.168,0.584,5111
1,38,726,435,1.952,0.976,5274
1,39,726,433,0.258,0.129,5923
1,40,726,449,2.064,1.032,5672
1,41,730,472,3.012,1.506,4916
1,42,728,495,2.978,1.489,5261
1,43,728,501,0.774,0.387,5913
1,44,729,506,0.658,0.329,4814
1,45,726,495,1.471,0.735,5012
1,46,730,503,1.154,0.577,5785
1,47,730,498,0.645,0.323,5098
1,48,731,492,0.785,0.392,5236
1,49,730,488,0.532,0.266,5460
1,50,726,467,2.758,1.379,4907
1,51,726,474,0.903,0.452,5194
1,52,725,465,1.168,0.584,5219
1,53,719,436,3.820,1.910,4837
1,54,724,459,3.036,1.518,5101
1,55,729,467,1.217,0.608,5170
1,56,724,478,1.559,0.779,5141
1,57,729,488,1.442,0.721,5898
1,58,726,494,0.865,0.433,4213
1,59,728,505,1.442,0.721,5220
1,60,730,501,0.577,0.288,4953
1,61,730,488,1.677,0.839,5315
1,62,730,471,2.193,1.097,5130
1,63,726,454,2.253,1.126,5453
1,64,725,441,1.682,0.841,4222
1,65,730,459,2.410,1.205,5210
1,66,728,459,0.258,0.129,5220
