particle,frame,x,y,Distance,Velocity,Pixel Value
1,1,685,442,-1.000,-1.000,66
1,2,682,466,3.120,1.560,66
1,3,685,450,2.100,1.050,66
1,4,720,440,4.696,2.348,82
1,5,694,477,5.834,2.917,104
1,6,690,481,0.730,0.365,80
1,7,696,464,2.326,1.163,107
1,8,697,448,2.068,1.034,103
1,9,688,464,2.368,1.184,85
1,10,689,441,2.970,1.485,86
1,11,693,413,3.649,1.824,97
1,12,696,398,1.973,0.987,88
1,13,698,428,3.879,1.939,98
1,14,696,432,0.577,0.288,69
1,15,698,449,2.208,1.104,81
1,16,694,466,2.253,1.126,75
1,17,693,466,0.129,0.065,74
1,18,685,501,4.631,2.316,65
1,19,694,452,6.427,3.213,77
1,20,690,413,5.057,2.529,75
1,21,689,473,7.741,3.871,86
1,22,693,428,5.828,2.914,100
1,23,690,448,2.609,1.304,89
1,24,693,442,0.865,0.433,99
1,25,693,433,1.161,0.581,95
1,26,694,438,0.658,0.329,64
1,27,697,446,1.102,0.551,71
1,28,696,457,1.425,0.712,60
1,29,693,446,1.471,0.735,64
1,30,690,400,5.947,2.973,83
1,31,690,428,3.612,1.806,70
1,32,696,432,0.930,0.465,77
1,33,694,456,3.107,1.553,74
1,34,693,425,4.001,2.001,82
1,35,694,468,5.548,2.774,73
1,36,685,485,2.481,1.241,71
1,37,693,465,2.779,1.389,83
1,38,696,445,2.609,1.304,75
1,39,696,402,5.547,2.774,74
1,40,698,420,2.336,1.168,67
1,41,692,476,7.265,3.633,69
1,42,690,493,2.208,1.104,63
1,43,694,454,5.057,2.529,95
1,44,696,452,0.365,0.182,80
1,45,697,425,3.485,1.743,72
1,46,692,450,3.289,1.644,54
1,47,693,406,5.677,2.839,84
1,48,692,417,1.425,0.712,73
1,49,693,437,2.583,1.292,76
1,50,696,416,2.737,1.368,105
1,51,694,440,3.107,1.553,71
1,52,690,473,4.288,2.144,100
1,53,685,490,2.286,1.143,77
1,54,682,508,2.354,1.177,71
1,55,690,437,9.217,4.608,100
1,56,689,465,3.614,1.807,76
1,57,689,438,3.483,1.742,92
1,58,693,437,0.532,0.266,85
1,59,690,442,0.752,0.376,92
1,60,686,426,2.128,1.064,59
1,61,692,392,4.454,2.227,67
1,62,690,442,6.455,3.228,72
1,63,694,408,4.416,2.208,84
1,64,696,422,1.824,0.912,108
1,65,692,449,3.521,1.761,72
1,66,688,476,3.521,1.761,92
1,67,690,490,1.824,0.912,95
1,68,694,465,3.266,1.633,79
1,69,696,446,2.465,1.232,79
1,70,696,432,1.806,0.903,90
1,71,696,422,1.290,0.645,69
