x,y,filename
575.5,307.5,exp100000
572.5,308.5,exp100001
573.5,304.5,exp100002
569.5,301.5,exp100003
571.5,302.5,exp100004
568.5,302.5,exp100005
570.5,304.5,exp100006
569.5,303.5,exp100007
566.5,303.5,exp100008
568.5,306.5,exp100009
564.5,303.5,exp100010
564.5,304.5,exp100011
565.5,304.5,exp100012
567.5,302.5,exp100013
562.5,303.5,exp100014
562.5,303.5,exp100015
563.5,303.5,exp100016
564.5,300.5,exp100017
567.5,298.5,exp100018
567.5,298.5,exp100019
570.5,294.5,exp100020
571.5,291.5,exp100021
570.5,290.5,exp100022
575.5,287.5,exp100023
575.5,288.5,exp100024
575.5,287.5,exp100025
578.5,288.5,exp100026
580.5,281.5,exp100027
576.5,282.5,exp100028
575.5,280.5,exp100029
576.5,280.5,exp100030
575.5,278.5,exp100031
569.5,275.5,exp100032
566.5,275.5,exp100033
567.5,273.5,exp100034
566.5,274.5,exp100035
565.5,276.5,exp100036
561.5,275.5,exp100037
564.5,277.5,exp100038
574.5,270.5,exp100039
576.5,273.5,exp100040
571.5,266.5,exp100041
571.5,267.5,exp100042
569.5,263.5,exp100043
570.5,260.5,exp100044
569.5,259.5,exp100045
570.5,256.5,exp100046
565.5,256.5,exp100047
573.5,244.5,exp100048
576.5,234.5,exp100049
539.5,279.5,exp100050
541.5,275.5,exp100051
540.5,277.5,exp100052
549.5,283.5,exp100053
545.5,290.5,exp100054
535.5,297.5,exp100055
528.5,312.5,exp100056
523.5,309.5,exp100057
530.5,313.5,exp100058
531.5,311.5,exp100059
525.5,313.5,exp100060
526.5,325.5,exp100061
526.5,334.5,exp100062
539.5,339.5,exp100063
545.5,343.5,exp100064
546.5,344.5,exp100065
543.5,339.5,exp100066
546.5,336.5,exp100067
546.5,334.5,exp100068
544.5,332.5,exp100069
549.5,336.5,exp100070
543.5,339.5,exp100071
540.5,338.5,exp100072
541.5,343.5,exp100073
539.5,338.5,exp100074
537.5,347.5,exp100075
538.5,349.5,exp100076
541.5,341.5,exp100077
546.5,348.5,exp100078
547.5,348.5,exp100079
537.5,340.5,exp100080
539.5,345.5,exp100081
532.5,351.5,exp100082
535.5,345.5,exp100083
538.5,350.5,exp100084
535.5,347.5,exp100085
541.5,340.5,exp100086
555.5,342.5,exp100087
557.5,342.5,exp100088
551.5,339.5,exp100089
551.5,339.5,exp100090
557.5,340.5,exp100091
548.5,342.5,exp100092
547.5,349.5,exp100093
541.5,352.5,exp100094
539.5,360.5,exp100095
546.5,367.5,exp100096
547.5,361.5,exp100097
551.5,359.5,exp100098
559.5,360.5,exp100099
495.5,325.5,exp100100
500.5,329.5,exp100101
502.5,327.5,exp100102
498.5,326.5,exp100103
504.5,329.5,exp100104
507.5,324.5,exp100105
500.5,322.5,exp100106
495.5,330.5,exp100107
489.5,337.5,exp100108
490.5,338.5,exp100109
498.5,335.5,exp100110
487.5,337.5,exp100111
490.5,336.5,exp100112
489.5,335.5,exp100113
486.5,332.5,exp100114
489.5,334.5,exp100115
480.5,330.5,exp100116
486.5,324.5,exp100117
484.5,325.5,exp100118
487.5,341.5,exp100119
478.5,336.5,exp100120
485.5,338.5,exp100121
490.5,334.5,exp100122
490.5,338.5,exp100123
477.5,336.5,exp100124
485.5,335.5,exp100125
491.5,338.5,exp100126
493.5,336.5,exp100127
487.5,336.5,exp100128
480.5,335.5,exp100129
487.5,335.5,exp100130
488.5,335.5,exp100131
487.5,336.5,exp100132
482.5,337.5,exp100133
480.5,335.5,exp100134
483.5,334.5,exp100135
482.5,335.5,exp100136
465.5,333.5,exp100137
466.5,332.5,exp100138
472.5,331.5,exp100139
470.5,330.5,exp100140
465.5,329.5,exp100141
476.5,325.5,exp100142
483.5,328.5,exp100143
485.5,330.5,exp100144
491.5,335.5,exp100145
481.5,330.5,exp100146
475.5,332.5,exp100147
476.5,336.5,exp100148
478.5,340.5,exp100149
476.5,337.5,exp100150
468.5,335.5,exp100151
474.5,337.5,exp100152
474.5,338.5,exp100153
477.5,340.5,exp100154
473.5,340.5,exp100155
471.5,337.5,exp100156
480.5,333.5,exp100157
471.5,335.5,exp100158
470.5,337.5,exp100159
466.5,338.5,exp100160
466.5,339.5,exp100161
466.5,339.5,exp100162
464.5,339.5,exp100163
465.5,336.5,exp100164
466.5,341.5,exp100165
465.5,344.5,exp100166
463.5,340.5,exp100167
460.5,339.5,exp100168
